keys,en,de,fr
XSTR_0,"For Volition, Inc.","(gr)For Volition, Inc.","(fr)For Volition, Inc."
XSTR_1,Original Design,(gr)Original Design,(fr)Original Design
XSTR_2,Programming,(gr)Programming,(fr)Programming
XSTR_3,Real-time Art,(gr)Real-time Art,(fr)Real-time Art
XSTR_4,Cutscene Art & Animation,(gr)Cutscene Art & Animation,(fr)Cutscene Art & Animation
XSTR_5,Mission Design,(gr)Mission Design,(fr)Mission Design
XSTR_6,Silent Threat Mission Design,(gr)Silent Threat Mission Design,(fr)Silent Threat Mission Design
XSTR_7,Third Party Missions,(gr)Third Party Missions,(fr)Third Party Missions
XSTR_8,Music & Sound Effects,(gr)Music & Sound Effects,(fr)Music & Sound Effects
XSTR_9,Cutscene Scoring,(gr)Cutscene Scoring,(fr)Cutscene Scoring
XSTR_10,Story & Writing,(gr)Story & Writing,(fr)Story & Writing
XSTR_11,Silent Threat Writing,(gr)Silent Threat Writing,(fr)Silent Threat Writing
XSTR_12,"Mission Editor, PXO & Tools","(gr)Mission Editor, PXO & Tools","(fr)Mission Editor, PXO & Tools"
XSTR_13,Real-time Voice Technology,(gr)Real-time Voice Technology,(fr)Real-time Voice Technology
XSTR_14,Voice Actors,(gr)Voice Actors,(fr)Voice Actors
XSTR_15,Administrative & Technical Support,(gr)Administrative & Technical Support,(fr)Administrative & Technical Support
XSTR_16,German Localization Assistance,(gr)German Localization Assistance,(fr)German Localization Assistance
XSTR_17,Testers,(gr)Testers,(fr)Testers
XSTR_18,Special Thanks,(gr)Special Thanks,(fr)Special Thanks
XSTR_19,Visit us at www.volition-inc.com,(gr)Visit us at www.volition-inc.com,(fr)Visit us at www.volition-inc.com
XSTR_20,For Interplay Productions,(gr)For Interplay Productions,(fr)For Interplay Productions
XSTR_21,Vice President of Development,(gr)Vice President of Development,(fr)Vice President of Development
XSTR_22,Producer,(gr)Producer,(fr)Producer
XSTR_23,Movie Compression Technology,(gr)Movie Compression Technology,(fr)Movie Compression Technology
